NomPar;campagne;x;y;station_meteo
43_PC_2019;2019;-0.84833679;46.14392017;1788
58_PC_2019;2019;-0.47218992;46.42275625;7977
45_PC_2019;2019;-0.88472262;46.16948125;1788
34_Gers_2019;2019;0.903188475;43.60279742;3281
106_Gers_2019;2019;0.342148114;43.68365957;3205
123_Gers_2019;2019;0.999478722;43.51573545;3225
39_PC_2019;2019;-0.76823633;46.13342516;1788
40_PC_2019;2019;-0.7807415;46.13343389;1788
87_Gers_2019;2019;0.555034289;43.9339075;3254
13_PC_2019;2019;-0.54192787;46.22506189;7907
134_Gers_2019;2019;0.765691208;43.74225979;3252
79_PC_2019;2019;-0.59483308;46.17499986;1788
26_Gers_2019;2019;0.498176906;44.13089651;4701
84_PC_2019;2019;-0.65542905;46.18730349;7907
126_Gers_2019;2019;0.994912852;43.51652276;3225
17_PC_2019;2019;-0.78502702;46.13411324;1788
97_Gers_2019;2019;0.415482391;43.95062357;3254
85_PC_2019;2019;-0.66396229;46.24832275;7907
96_Gers_2019;2019;0.416382859;43.95062939;3254
59_PC_2019;2019;-0.46716911;46.4210225;7977
114_Gers_2019;2019;0.333519699;43.73231212;3276
66_PC_2019;2019;-1.04367219;46.17639627;1751
100_Gers_2019;2019;0.683715701;43.75414037;3252
61_PC_2019;2019;-0.49501037;46.37519571;7977
125_Gers_2019;2019;0.991241957;43.51946009;3225
52_PC_2019;2019;-0.84781673;46.14349236;1788
24_Gers_2019;2019;0.732775432;43.74749431;3252
27_Gers_2019;2019;0.737290318;43.74925852;3252
25_Gers_2019;2019;0.734687502;43.74916104;3252
136_Gers_2019;2019;0.78449185;43.73972207;3281
29_Gers_2019;2019;0.635133683;43.74219161;3252
10_Gers_2019;2019;0.989308394;43.52449578;3225
72_PC_2019;2019;-0.51210577;46.14782235;1788
89_Gers_2019;2019;0.557705015;43.93142683;3254
16_PC_2019;2019;-0.93369785;46.17847533;1751
102_Gers_2019;2019;0.654720423;43.74563884;3252
15_PC_2019;2019;-0.55746634;46.22232401;7907
44_PC_2019;2019;-0.84826902;46.14332316;1788
53_PC_2019;2019;-0.84656125;46.14356787;1788
92_Gers_2019;2019;0.598736862;43.9341447;3203
94_Gers_2019;2019;0.472256625;43.94319611;3254
32_Gers_2019;2019;0.641593598;43.74170069;3252
80_PC_2019;2019;-0.60479469;46.17509195;1788
42_PC_2019;2019;-0.84635336;46.14351902;1788
63_PC_2019;2019;-0.93345516;46.17820096;1751
22_PC_2019;2019;-0.41418794;45.97077653;1672
21_PC_2019;2019;-0.40756465;45.9680845;1672
116_Gers_2019;2019;0.912418842;43.59322589;3281
71_PC_2019;2019;-0.58288118;46.12085103;1788
11_PC_2019;2019;-0.46095457;46.43631816;7977
28_Gers_2019;2019;0.790189707;43.73656218;3281
51_PC_2019;2019;-0.91744388;46.10217264;1762
46_PC_2019;2019;-0.93327482;46.1783157;1751
124_Gers_2019;2019;0.997204077;43.51678865;3225
62_PC_2019;2019;-0.56777233;46.22625459;7907
177_gers_2020;2020;0.674472;43.748053;3252
178_gers_2020;2020;0.728772;43.75011;3252
179_gers_2020;2020;0.696539;43.750892;3252
180_gers_2020;2020;0.696539;43.750892;3252
181_gers_2020;2020;0.753118;43.743891;3252
182_gers_2020;2020;0.822682;43.734577;3281
183_gers_2020;2020;0.816286;43.732878;3281
184_gers_2020;2020;0.819171;43.734685;3281
185_gers_2020;2020;0.816653;43.734664;3281
186_gers_2020;2020;0.762613;43.740795;3252
187_gers_2020;2020;0.768169;43.739907;3252
188_gers_2020;2020;0.778882;43.738813;3281
189_gers_2020;2020;0.782221;43.738106;3281
190_gers_2020;2020;0.787908;43.739263;3281
191_gers_2020;2020;0.790959;43.738563;3281
192_gers_2020;2020;0.793922;43.738211;3281
193_gers_2020;2020;0.793951;43.736915;3281
194_gers_2020;2020;0.800284;43.738059;3281
195_gers_2020;2020;0.801596;43.736996;3281
