parcelle;date;NDVI_moy
COULONGES2;03/05/2022;3191
COULONGES2;28/05/2022;4950
COULONGES2;02/06/2022;6204
COULONGES2;17/06/2022;7809
COULONGES2;27/06/2022;8298
COULONGES2;02/07/2022;8661
COULONGES2;07/07/2022;8377
COULONGES2;12/07/2022;7902
COULONGES2;17/07/2022;5702
COULONGES2;01/08/2022;5239
COULONGES2;06/08/2022;4698
COULONGES2;11/08/2022;4264
FDGEDA1;10/04/2022;2108
FDGEDA1;30/04/2022;2411
FDGEDA1;10/05/2022;3005
FDGEDA1;30/05/2022;2100
FDGEDA1;14/06/2022;3497
FDGEDA1;19/06/2022;3735
FDGEDA1;14/07/2022;6437
FDGEDA1;24/07/2022;5747
FDGEDA1;03/08/2022;4541
FDGEDA1;08/08/2022;3577
FDGEDA1;13/08/2022;2816
FDGEDA1;18/08/2022;2896
FDGEDA1;23/08/2022;2341
FDGEDA1;28/08/2022;2377
FDGEDA2;10/04/2022;2226
FDGEDA2;10/05/2022;2705
FDGEDA2;30/05/2022;2304
FDGEDA2;14/06/2022;3866
FDGEDA2;19/06/2022;4399
FDGEDA2;14/07/2022;7028
FDGEDA2;24/07/2022;6627
FDGEDA2;03/08/2022;5408
FDGEDA2;08/08/2022;4258
FDGEDA2;13/08/2022;3219
FDGEDA2;18/08/2022;2877
FDGEDA2;23/08/2022;2406
FDGEDA2;28/08/2022;2775
FDGEDA6;10/04/2022;2593
FDGEDA6;10/05/2022;3194
FDGEDA6;30/05/2022;2665
FDGEDA6;14/06/2022;4891
FDGEDA6;19/06/2022;4756
FDGEDA6;14/07/2022;5592
FDGEDA6;24/07/2022;4750
FDGEDA6;03/08/2022;3615
FDGEDA6;08/08/2022;3062
FDGEDA6;13/08/2022;2704
FDGEDA6;28/08/2022;2820
FDGEDA7;10/04/2022;2171
FDGEDA7;10/05/2022;2819
FDGEDA7;30/05/2022;2082
FDGEDA7;14/06/2022;4049
FDGEDA7;19/06/2022;4380
FDGEDA7;14/07/2022;6529
FDGEDA7;24/07/2022;5959
FDGEDA7;03/08/2022;4755
FDGEDA7;08/08/2022;3990
FDGEDA7;13/08/2022;3373
