parcelle;date;ndvi
fdgeda2;99;2226
fdgeda2;129;2705
fdgeda2;149;2304
fdgeda2;164;3866
fdgeda2;169;4399
fdgeda2;194;7028
fdgeda2;204;6627
fdgeda2;214;5408
fdgeda2;219;4258
fdgeda2;224;3219
fdgeda2;229;2877
fdgeda2;234;2406
fdgeda2;239;2775
fdgeda6;99;2593
fdgeda6;129;3194
fdgeda6;149;2665
fdgeda6;164;4891
fdgeda6;169;4756
fdgeda6;194;5592
fdgeda6;204;4750
fdgeda6;214;3615
fdgeda6;219;3062
fdgeda6;224;2704
fdgeda6;239;2820
fdgeda7;99;2171
fdgeda7;129;2819
fdgeda7;149;2082
fdgeda7;164;4049
fdgeda7;169;4380
fdgeda7;194;6529
fdgeda7;204;5959
fdgeda7;214;4755
fdgeda7;219;3990
fdgeda7;224;3373
fdgeda7;239;3133
fdgeda8;99;2108
fdgeda8;129;2879
fdgeda8;149;3048
fdgeda8;164;6533
fdgeda8;169;6410
fdgeda8;194;6456
fdgeda8;204;5118
fdgeda8;214;3183
fdgeda8;219;2491
fdgeda8;224;2209
fdgeda8;239;2196
lamagistere3;99;1234
lamagistere3;129;1284
lamagistere3;149;4220
lamagistere3;164;7539
lamagistere3;169;7633
lamagistere3;194;8229
lamagistere3;204;7853
lamagistere3;214;5971
lamagistere3;219;4652
lamagistere3;224;3586
lamagistere3;239;2539
tiagen1;99;2233
tiagen1;129;2022
tiagen1;147;3553
tiagen1;149;3420
tiagen1;164;5729
tiagen1;169;5712
tiagen1;192;7812
tiagen1;194;7571
tiagen1;197;7303
tiagen1;204;6990
tiagen1;212;6205
tiagen1;214;5530
tiagen1;217;4752
tiagen1;219;4497
tiagen1;222;3900
tiagen1;224;3510
tiagen1;239;3264
tiravard1;122;1668
tiravard1;147;4090
tiravard1;152;4222
tiravard1;167;4077
tiravard1;177;5820
tiravard1;182;6020
tiravard1;187;4752
tiravard1;192;3865
tiravard1;197;2980
tiravard1;212;2159
tiravard1;217;1734
tiravard1;222;1586
tirosieres1;93;4826
tirosieres1;106;5359
tirosieres1;111;5238
tirosieres1;123;5370
tirosieres1;126;5519
tirosieres1;128;5497
tirosieres1;133;5220
tirosieres1;136;5542
tirosieres1;143;6598
tirosieres1;156;5507
tirosieres1;161;6993
tirosieres1;163;6240
tirosieres1;168;5879
tirosieres1;173;6101
tirosieres1;178;5299
tirosieres1;183;4906
tirosieres1;188;4644
tirosieres1;193;4233
tirosieres1;196;3969
tirosieres1;198;3602
tirosieres1;211;2780
tirosieres1;213;2136
tirosieres1;218;2528
tirosieres1;221;2348
tirosieres1;223;2077
tirosieres1;228;2096
tirosieres1;231;2301
tirosieres1;233;1850
tirosieres1;236;1813
tirosieres1;241;1861
tirosieres3;93;2283
tirosieres3;106;2257
tirosieres3;111;2423
tirosieres3;123;2201
tirosieres3;126;2384
tirosieres3;128;2228
tirosieres3;133;2834
tirosieres3;136;2385
tirosieres3;156;3685
tirosieres3;161;3429
tirosieres3;163;4321
tirosieres3;168;4996
tirosieres3;173;5851
tirosieres3;178;6587
tirosieres3;183;6517
tirosieres3;188;6085
tirosieres3;193;5119
tirosieres3;196;4663
tirosieres3;198;4224
tirosieres3;211;3766
tirosieres3;213;3329
tirosieres3;218;3376
tirosieres3;221;3048
tirosieres3;223;2825
tirosieres3;228;2615
tirosieres3;231;3182
tirosieres3;233;2645
tirosieres3;236;2570
tirosieres3;241;2403
tirosieres4;93;1989
tirosieres4;106;2080
tirosieres4;111;2368
tirosieres4;123;2070
tirosieres4;126;2107
tirosieres4;128;1960
tirosieres4;133;2608
tirosieres4;136;1994
tirosieres4;156;3520
tirosieres4;161;3780
tirosieres4;163;4001
tirosieres4;168;4698
tirosieres4;173;5453
tirosieres4;178;5226
tirosieres4;183;5888
